Item,Date,Mean Price
Double Cream,01/02/1988,2.897962
Double Cream,01/03/1988,2.965439
Double Cream,01/04/1988,2.986767
Double Cream,01/05/1988,3.00914
Double Cream,01/06/1988,3.02297
Double Cream,01/07/1988,3.060531
Double Cream,01/09/1988,3.095492
Double Cream,01/10/1988,3.135613
Double Cream,01/11/1988,3.138618
Double Cream,01/12/1988,3.181235
Double Cream,01/01/1989,3.160497
Double Cream,01/03/1989,3.198183
Double Cream,01/04/1989,3.233806
Double Cream,01/05/1989,3.210826
Double Cream,01/06/1989,3.19393
Double Cream,01/07/1989,3.223816
Double Cream,01/08/1989,3.278008
Double Cream,01/09/1989,3.305757
Double Cream,01/10/1989,3.320781
Double Cream,01/11/1989,3.385729
Double Cream,01/12/1989,3.399637
Double Cream,01/01/1990,3.386764
Double Cream,01/02/1990,3.443197
Milk,01/02/1990,0.9698413
Milk,01/03/1990,0.9882759
Double Cream,01/03/1990,3.486956
Double Cream,01/04/1990,3.398474
Milk,01/04/1990,0.9708667
Milk,01/05/1990,0.9928481
Double Cream,01/05/1990,3.48038
Double Cream,01/06/1990,3.494167
Milk,01/06/1990,0.9894969
Double Cream,01/07/1990,3.490298
Milk,01/07/1990,0.9855769
Milk,01/08/1990,0.9868125
Double Cream,01/08/1990,3.477844
Double Cream,01/09/1990,3.509843
Milk,01/09/1990,0.9612122
Milk,01/10/1990,0.9993023
Double Cream,01/10/1990,3.45317
Double Cream,01/11/1990,3.513234
Milk,01/11/1990,1.030575
Double Cream,01/12/1990,3.509987
Milk,01/12/1990,1.047101
Milk,01/01/1991,1.070124
Double Cream,01/01/1991,3.516483
Double Cream,01/02/1991,3.503151
Milk,01/02/1991,1.076811
Milk,01/03/1991,1.075078
Double Cream,01/03/1991,3.505636
Double Cream,01/04/1991,3.522482
Milk,01/04/1991,1.077464
Milk,01/05/1991,1.08022
Double Cream,01/05/1991,3.558649
Double Cream,01/06/1991,3.604799
Milk,01/06/1991,1.078325
Milk,01/07/1991,1.074455
Double Cream,01/07/1991,3.573698
Double Cream,01/08/1991,3.582366
Milk,01/08/1991,1.07177
Double Cream,01/09/1991,3.601416
Milk,01/09/1991,1.078707
Double Cream,01/10/1991,3.623428
Milk,01/10/1991,1.077791
Double Cream,01/11/1991,3.643486
Milk,01/11/1991,1.07619
Double Cream,01/12/1991,3.69008
Milk,01/12/1991,1.071
Milk,01/01/1992,1.066951
Double Cream,01/01/1992,3.760582
Double Cream,01/02/1992,3.712818
Milk,01/02/1992,1.061778
Milk,01/03/1992,1.04924
Double Cream,01/03/1992,3.813993
Milk,01/04/1992,1.060565
Double Cream,01/04/1992,3.845276
Double Cream,01/05/1992,3.919146
Milk,01/05/1992,1.056705
Double Cream,01/06/1992,3.969155
Milk,01/06/1992,1.068276
Milk,01/07/1992,1.084503
Double Cream,01/07/1992,3.950583
Double Cream,01/08/1992,3.973348
Milk,01/08/1992,1.075389
Double Cream,01/09/1992,3.98497
Milk,01/09/1992,1.078066
Milk,01/10/1992,1.064194
Double Cream,01/10/1992,3.943258
Milk,01/11/1992,1.031351
Double Cream,01/11/1992,4.011716
Milk,01/12/1992,1.021429
Double Cream,01/12/1992,3.981919
Milk,01/01/1993,1.011027
Double Cream,01/01/1993,3.978219
Milk,01/02/1993,1.004764
Double Cream,01/02/1993,4.068316
Milk,01/03/1993,0.9902674
Double Cream,01/03/1993,4.15191
Double Cream,01/04/1993,4.198754
Milk,01/04/1993,0.9797354
Double Cream,01/05/1993,4.234068
Milk,01/05/1993,0.9775916
Double Cream,01/06/1993,4.255494
Milk,01/06/1993,0.9830688
Milk,01/07/1993,0.9936316
Double Cream,01/07/1993,4.311917
Double Cream,01/08/1993,4.286444
Milk,01/08/1993,0.9834536
Milk,01/09/1993,0.9697436
Double Cream,01/09/1993,4.299348
Milk,01/10/1993,0.9373575
Double Cream,01/10/1993,4.29607
Milk,01/11/1993,0.9107614
Double Cream,01/11/1993,4.292867
Milk,01/12/1993,0.9026396
Double Cream,01/12/1993,4.240182
Double Cream,01/01/1994,4.302299
Milk,01/01/1994,0.9005051
Double Cream,01/02/1994,4.323811
Milk,01/02/1994,0.8964974
Double Cream,01/03/1994,4.299574
Milk,01/03/1994,0.9136649
Milk,01/04/1994,0.9085492
Double Cream,01/04/1994,4.320939
Double Cream,01/05/1994,4.337166
Milk,01/05/1994,0.9021905
Double Cream,01/06/1994,4.331344
Milk,01/06/1994,0.8944811
Milk,01/07/1994,0.8859813
Double Cream,01/07/1994,4.295212
Double Cream,01/08/1994,4.304343
Milk,01/08/1994,0.8827604
Milk,01/09/1994,0.8824883
Double Cream,01/09/1994,4.281765
Double Cream,01/10/1994,4.249488
Milk,01/10/1994,0.8663366
Milk,01/11/1994,0.908972
Double Cream,01/11/1994,4.33714
Milk,01/12/1994,0.9135714
Double Cream,01/12/1994,4.310618
Double Cream,01/01/1995,4.388923
Milk,01/01/1995,0.912783
Milk,01/02/1995,0.9218396
Double Cream,01/02/1995,4.60336
Milk,01/03/1995,0.9222535
Double Cream,01/03/1995,4.620994
Milk,01/04/1995,0.9215024
Double Cream,01/04/1995,4.546428
Milk,01/05/1995,0.9224883
Double Cream,01/05/1995,4.549554
Double Cream,01/06/1995,4.675828
Milk,01/06/1995,0.9231604
Milk,01/07/1995,0.9193427
Double Cream,01/07/1995,4.700504
Milk,01/08/1995,0.916934
Double Cream,01/08/1995,4.670764
Double Cream,01/09/1995,4.639308
Milk,01/09/1995,0.9080095
Milk,01/10/1995,0.9021043
Double Cream,01/10/1995,4.792744
Milk,01/11/1995,0.8975668
Double Cream,01/11/1995,4.775666
Milk,01/12/1995,0.9102617
Double Cream,01/12/1995,4.817193
